Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Who_Won,Winning_Line
BASKETBALL,COLLEGE MENS,ILLINOIS,MARYLAND,n/a,-325,260,MARYLAND,-325
BASKETBALL,COLLEGE MENS,SAINT MARYS,SAN FRANCISCO,n/a,-550,410,SAINT MARYS,-550
BASKETBALL,COLLEGE MENS,NEW MEXICO STATE,KENNESAW STATE,n/a,-380,300,KENNESAW STATE,300
BASKETBALL,COLLEGE MENS,ARKANSAS STATE,APPALACHIAN STATE,n/a,-345,275,ARKANSAS STATE,-345
BASKETBALL,COLLEGE MENS,UTEP,JACKSONVILLE STATE,n/a,-290,235,JACKSONVILLE STATE,235
BASKETBALL,COLLEGE MENS,UC DAVIS,HAWAII,n/a,-118,-102,UC DAVIS,-118
BASKETBALL,COLLEGE MENS,EASTERN ILLINOIS,MOREHEAD STATE,n/a,164,-198,MOREHEAD STATE,-198
BASKETBALL,COLLEGE MENS,IDAHO,NORTHERN COLORADO,n/a,150,-180,IDAHO,150
BASKETBALL,COLLEGE MENS,EASTERN WASHINGTON,NORTHERN ARIZONA,n/a,-148,124,NORTHERN ARIZONA,124
BASKETBALL,COLLEGE MENS,OREGON STATE,PEPPERDINE,n/a,-1200,750,OREGON STATE,-1200
BASKETBALL,COLLEGE MENS,UC SAN DIEGO,UC SANTA BARBARA,n/a,-550,410,UC SAN DIEGO,-550
BASKETBALL,COLLEGE MENS,CSUN,LONG BEACH STATE,n/a,-1100,700,CSUN,-1100
BASKETBALL,COLLEGE MENS,UC RIVERSIDE,UC IRVINE,n/a,260,-325,UC RIVERSIDE,260
BASKETBALL,COLLEGE MENS,PACIFIC,LOYOLA MARYMOUNT,n/a,225,-278,LOYOLA MARYMOUNT,-278
BASKETBALL,COLLEGE MENS,CAL STATE FULLERTON,CSU BAKERSFIELD,n/a,160,-192,CSU BAKERSFIELD,-192
BASKETBALL,COLLEGE MENS,PORTLAND STATE,WEBER STATE,n/a,-162,136,PORTLAND STATE,-162
BASKETBALL,COLLEGE MENS,SACRAMENTO STATE,IDAHO STATE,n/a,210,-258,SACRAMENTO STATE,210
BASKETBALL,COLLEGE MENS,PORTLAND,SAN DIEGO,n/a,-155,130,PORTLAND,-155
BASKETBALL,COLLEGE MENS,SANTA CLARA,WASHINGTON STATE,n/a,-225,185,SANTA CLARA,-225
BASKETBALL,COLLEGE MENS,CALIFORNIA BAPTIST,UTAH VALLEY,n/a,-162,136,UTAH VALLEY,136
BASKETBALL,NBA,BKN NETS,PHO SUNS,n/a,550,-800,PHO SUNS,-800
BASKETBALL,NBA,DAL MAVERICKS,MIN TIMBERWOLVES,n/a,130,-155,MIN TIMBERWOLVES,-155
BASKETBALL,NBA,ATL HAWKS,DET PISTONS,n/a,-148,124,DET PISTONS,124
BASKETBALL,NBA,OKC THUNDER,UTA JAZZ,n/a,-1600,900,OKC THUNDER,-1600
BASKETBALL,NBA,HOU ROCKETS,CLE CAVALIERS,n/a,114,-135,HOU ROCKETS,114
