Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,CBB,MILWAUKEE,YOUNGSTOWN STATE,n/a,145.5,143,U
BASKETBALL,CBB,UCLA,IOWA,n/a,151.5,164,O
BASKETBALL,CBB,FRESNO STATE,AIR FORCE,n/a,141.0,139,U
BASKETBALL,CBB,NEW MEXICO,BOISE STATE,n/a,151.5,149,U
BASKETBALL,NBA,DET PISTONS,IND PACERS,n/a,229.0,211,U
BASKETBALL,NBA,WAS WIZARDS,PHO SUNS,n/a,231.5,253,O
BASKETBALL,NBA,OKC THUNDER,CLE CAVALIERS,n/a,233.0,248,O
BASKETBALL,NBA,SAC KINGS,HOU ROCKETS,n/a,226.5,259,O
BASKETBALL,NBA,POR TRAIL BLAZERS,LA CLIPPERS,n/a,219.5,207,U
BASKETBALL,CBB,UMBC,NEW HAMPSHIRE,n/a,152.0,155,O
BASKETBALL,CBB,FLORIDA GULF COAST,WEST GEORGIA,n/a,142.5,142,U
BASKETBALL,CBB,BELLARMINE,LIPSCOMB,n/a,145.5,140,U
BASKETBALL,CBB,MINNESOTA,MICHIGAN,n/a,144.5,165,O
BASKETBALL,CBB,TEMPLE,MEMPHIS,n/a,156.5,169,O
BASKETBALL,CBB,JAMES MADISON,MARSHALL,n/a,145.0,131,U
BASKETBALL,CBB,CAMPBELL,CHARLESTON,n/a,150.5,128,U
BASKETBALL,CBB,RIDER,MOUNT SAINT MARYS,n/a,138.5,126,U
BASKETBALL,CBB,NORTH FLORIDA,CENTRAL ARKANSAS,n/a,158.5,172,O
BASKETBALL,CBB,UNC WILMINGTON,NORTHEASTERN,n/a,141.5,152,O
BASKETBALL,CBB,FIU,NEW MEXICO STATE,n/a,143.0,111,U
BASKETBALL,CBB,QUINNIPIAC,MERRIMACK,n/a,134.0,157,O
BASKETBALL,CBB,COASTAL CAROLINA,GEORGIA SOUTHERN,n/a,141.0,175,O
BASKETBALL,CBB,DREXEL,ELON,n/a,134.0,119,U
BASKETBALL,CBB,OLD DOMINION,APPALACHIAN STATE,n/a,135.0,105,U
BASKETBALL,CBB,JACKSONVILLE STATE,LOUISIANA TECH,n/a,140.0,124,U
BASKETBALL,CBB,HAMPTON,WILLIAM & MARY,n/a,151.0,131,U
BASKETBALL,CBB,STETSON,QUEENS NC,n/a,156.5,155,U
BASKETBALL,CBB,LONGWOOD,HIGH POINT,n/a,153.0,162,O
BASKETBALL,CBB,KENNESAW STATE,SAM HOUSTON,n/a,162.5,144,U
BASKETBALL,CBB,NORTH CAROLINA A&T,MONMOUTH,n/a,153.5,135,U
BASKETBALL,CBB,JACKSONVILLE,NORTH ALABAMA,n/a,142.5,124,U
BASKETBALL,CBB,ARKANSAS STATE,LOUISIANA,n/a,147.5,146,U
BASKETBALL,CBB,SOUTH DAKOTA STATE,NORTH DAKOTA,n/a,156.5,182,O
BASKETBALL,CBB,NORTH DAKOTA STATE,UMKC,n/a,140.0,135,U
BASKETBALL,CBB,SOUTH DAKOTA,ORAL ROBERTS,n/a,173.0,174,O
BASKETBALL,CBB,NORTHERN ARIZONA,SACRAMENTO STATE,n/a,136.5,130,U
BASKETBALL,CBB,NORTHERN COLORADO,PORTLAND STATE,n/a,154.5,141,U
BASKETBALL,CBB,UT ARLINGTON,UTAH VALLEY,n/a,146.0,168,O
BASKETBALL,CBB,TARLETON STATE,CALIFORNIA BAPTIST,n/a,131.0,124,U
BASKETBALL,CBB,AUSTIN PEAY,EASTERN KENTUCKY,n/a,142.0,187,O
BASKETBALL,CBB,UT MARTIN,EASTERN ILLINOIS,n/a,136.5,131,U
BASKETBALL,CBB,TENNESSEE STATE,SIU EDWARDSVILLE,n/a,142.0,167,O
